,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
135997,13598.399331768676,155.06793914729496,-107.52481126831844,0.10000007991283813,13600.028368463021,True,-304.0,65375.0852511376,0.0,0.0,130750.17050227523
136997,13698.399087432867,154.83825925952988,-107.40997155196965,0.10000009139729593,13700.028454040854,True,-304.0,65305.26270359753,0.0,0.0,130610.52540719509
137997,13798.398795161072,154.5885794215137,-107.28513192536775,0.10000010387971241,13800.02855160253,True,-304.0,65229.36021062359,0.0,0.0,130458.72042124718
138997,13898.398450953307,154.31889964319998,-107.15029240434524,0.10000011736216792,13900.028662148046,True,-304.0,65147.37778184189,0.0,0.0,130294.75556368381
139997,13998.398050809583,154.0292199352989,-107.00545300683007,0.10000013184613862,14000.02878667731,True,-286.0,61207.11911990678,0.0,0.0,122414.2382398136
140997,14098.397590729912,153.719540309452,-106.85061375133228,0.10000014732848148,14100.028926190294,True,-286.0,61118.55106576205,0.0,0.0,122237.10213152412
141997,14198.397066714317,153.38986077794107,-106.68577465810813,0.10000016381631652,14200.029081686878,True,-257.0,54836.488174267564,0.0,0.0,109672.97634853516
142997,14298.396474762805,153.0401813541539,-106.51093574846163,0.1000001812950994,14300.029254167024,True,-257.0,54746.620974709294,0.0,0.0,109493.24194941856
143997,14398.395810875414,152.6705020519439,-106.3260970453266,0.10000019977668681,14400.02944463063,True,-257.0,54651.613881297875,0.0,0.0,109303.22776259576
144997,14498.395071052157,152.28082288603764,-106.1312585726846,0.10000021926075688,14500.029654077665,True,-257.0,54551.466906359885,0.0,0.0,109102.93381271977
145997,14598.394251293066,151.87114387215115,-105.92642035568133,0.10000023974487132,14600.029883507932,True,-257.0,54446.1800628202,0.0,0.0,108892.3601256404
146997,14698.393347598174,151.4414650266408,-105.71158242120873,0.10000026123034647,14700.030133921402,True,-218.0,46090.24993564701,0.0,0.0,92180.49987129401
147997,14798.392355967513,150.99178636667784,-105.48674479697365,0.10000028371220038,14800.030406317905,True,-218.0,45992.22073148051,0.0,0.0,91984.44146296103
148997,14898.391272401122,150.52210791019024,-105.25190751231275,0.10000030719198295,14900.030701697317,True,-218.0,45889.83167536835,0.0,0.0,91779.66335073672
149997,14998.390092899042,150.0324296760955,-105.00707059784327,0.10000033167541753,15000.031021059447,True,-173.0,36332.446426853756,0.0,0.0,72664.89285370754
150997,15098.388813461317,149.52275168395136,-104.75223408523016,0.10000035715251289,15100.031365404167,True,-173.0,36244.27299348962,0.0,0.0,72488.54598697927
151997,15198.387430088005,148.9930739539559,-104.48739800765179,0.10000038363779322,15200.031735731307,True,-173.0,36152.63971064752,0.0,0.0,72305.27942129504
152997,15298.385938779153,148.44339650752954,-104.2125623995671,0.10000041112214472,15300.032133040653,True,-173.0,36057.54659025022,0.0,0.0,72115.09318050044
153997,15398.384335534816,147.87371936661657,-103.92772729659919,0.10000043960103037,15400.032558331979,True,-173.0,35958.99364462332,0.0,0.0,71917.98728924664
154997,15498.382616355064,147.28404255385976,-103.63289273600094,0.10000046908138979,15500.033012605076,True,-141.0,29224.475751552265,0.0,0.0,58448.95150310453
155997,15598.38077723996,146.67436609300785,-103.32805875584017,0.10000049956502022,15600.033496859769,True,-141.0,29138.512569146915,0.0,0.0,58277.02513829386
156997,15698.378814189575,146.04469000839163,-103.01322539593093,0.1000005310409868,15700.034012095743,True,-119.0,24517.147644231554,0.0,0.0,49034.29528846312
157997,15798.376723203988,145.39501432521502,-102.6883926972514,0.1000005635220014,15800.034559312715,True,-119.0,24439.837461945826,0.0,0.0,48879.67492389166
158997,15898.374500283284,144.72533906938042,-102.35356070182752,0.10000059700519702,15900.035139510408,True,-119.0,24360.14744703495,0.0,0.0,48720.2948940699
159997,15998.372141427546,144.0356642677798,-102.00872945319861,0.1000006314879902,16000.035753688537,True,-119.0,24278.077609861277,0.0,0.0,48556.15521972254
160997,16098.369642636864,143.32598994788714,-101.65389899641741,0.10000066696224803,16100.036402846785,True,-119.0,24193.627961147336,0.0,0.0,48387.25592229469
161997,16198.366999911346,142.59631613828242,-101.28906937735155,0.10000070344233637,16200.037087984778,True,-111.0,22486.173401772037,0.0,0.0,44972.34680354409
162997,16298.364209251084,141.84664286795305,-100.9142406436149,0.10000074091970435,16300.037810102123,True,-111.0,22402.96142288251,0.0,0.0,44805.92284576502
163997,16398.361266656197,141.0769701669924,-100.52941284386907,0.10000077939475276,16400.03857019847,True,-111.0,22317.529651338933,0.0,0.0,44635.05930267786
164997,16498.358168126797,140.2872980661341,-100.13458602817263,0.10000081887702407,16500.039369273552,True,-113.0,22630.416442367008,0.0,0.0,45260.83288473403
165997,16598.354909663016,139.47762659698492,-99.72976024774835,0.10000085935696436,16600.040208326638,True,-113.0,22538.925815991126,0.0,0.0,45077.85163198225
166997,16698.35148726497,138.64795579196652,-99.31493555544876,0.10000090083043037,16700.041088357495,True,-113.0,22445.17543553142,0.0,0.0,44890.35087106284
167997,16798.347896932803,137.79828568419907,-98.89011200494133,0.10000094331242255,16800.042010365498,True,-113.0,22349.165313116733,0.0,0.0,44698.33062623348
168997,16898.344134666648,136.92861630773405,-98.45528965163976,0.10000098678524809,16900.04297535027,True,-114.0,22447.806040573865,0.0,0.0,44895.61208114773
169997,16998.34019646666,136.03894769732142,-98.01046855188906,0.10000103126243046,17000.043984311284,True,-114.0,22346.3868298307,0.0,0.0,44692.77365966141
170997,17098.33607833299,135.12927988858428,-97.55564876366407,0.10000107673717949,17100.045038247954,True,-114.0,22242.687918115407,0.0,0.0,44485.375836230814
